Lake_ID,Lake_name,real_name,DNAsampleID,NVE_number,Longitude,Latitude,Altitude,sample_date,lake_temp,pH,conductivity,alkalinity,Ar (ppm),O2 (ppm),N2 (ppm),CO2 (ppm),CH4 (ppm),N2O (ppm),Ar (ppm/h),O2 (ppm/h),N2 (ppm/h),CO2 (ppm/h),CH4 (ppm/h),N2O (ppm/h),TOC,DOC,TN,DN,TOTP,DP,DNA_conc,filtered_vol
13440,Rosovatnet,Rosovatnet,L67,5834,10.015193,59.400235,,,0.9,6.59,27.4,0.41,0.00,0.00,719.26,835.36,24.56,0.06,0.48,-5.13,-4.48,11.99,-0.04,0.00,,,,,,,5.3,540
13443,Balsrodtjernet,Bålsrødtjernet,L61,6735,9.856297,59.0214781,,,3.4,7.33,160.9,1.609,0.00,0.00,0.00,6865.19,6.86,0.05,0.60,-7.75,40.02,0.35,-0.01,0.00,,,,,,,6.68,
13445,Gjennestadvatnet,Gjennestadvatnet,L56,5879,10.2418847,59.2353606,,,1.6,7.04,86.5,0.945,0.00,0.00,0.00,4313.70,48.13,0.15,2.08,-16.71,55.02,48.19,0.16,0.00,,,,,,,15.6,
13449,Lilledalstjernet,Lilledalstjernet,L10,3494,11.6878093,59.2464685,,,0.6,7.08,90.8,1.019,0.00,0.00,0.00,4416.89,10.74,0.00,0.72,-27.84,-1.41,37.38,0.04,0.00,,,,,,,5.48,180
13453,Femsjoen,Femsjøen,L6,316,11.4878221,59.1304439,,,6,6.82,63.3,0.348,0.00,0.00,0.00,1150.35,1.58,0.02,2.11,33.88,78.38,6.52,0.02,0.00,,,,,,,4.04,360
13458,Rodenessjoen,Rødenessjøen,L17,323,11.639645,59.488403,,,6,6.87,72.5,0.445,0.00,0.00,0.00,1607.46,0.50,0.12,-0.43,-25.41,0.44,13.85,0.00,0.00,,,,,,,2.52,180
13459,Holevatnet,Hølevatnet,L5,3344,11.6591797,59.6127598,,,1.4,6.32,72.1,NA,0.00,0.00,0.00,1513.09,26.95,0.02,1.68,14.82,80.28,14.70,0.13,0.00,,,,,,,2.06,60
13469,Isesjoen,Isesjøen,L1,133,11.197053,59.250624,,,4.9,6.76,68.4,0.219,0.00,0.00,0.00,591.52,1.65,0.04,1.20,20.49,41.04,6.02,0.01,0.00,,,,,,,5.08,190
13470,Tunevatnet,Tunevatnet,L2,3451,11.0865405,59.2940372,,,4.2,7.32,109.6,0.74,0.00,0.00,0.00,2646.92,3.04,0.00,0.51,5.36,-17.22,18.77,0.01,0.00,,,,,,,9.1,300
13471,Sabyvatnet,Sæbyvatnet,L9,295,10.9944016,59.4181121,,,3.3,6.29,54.1,0.275,0.00,0.00,0.00,1061.43,2.10,0.08,0.39,-13.12,3.59,10.99,0.01,0.00,,,,,,,2.92,130
