"Kingdom" "Supergroup" "Division" "Class" "Order" "Family" "Genus" "Species"
"158" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Suessiales" "Borghiellaceae" "Borghiella" "Borghiella_tenuissima"
"159" "Eukaryota" "Opisthokonta" "Fungi" "Chytridiomycota" "Chytridiomycotina" "Chytridiomycetes" "Chytriomyces" "Chytriomyces_spinosus"
"160" "Eukaryota" "Opisthokonta" "Choanoflagellida" "Choanoflagellida_X" "Choanoflagellida_XX" NA NA NA
"161" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-E" "Chrysophyceae_Clade-E_X" "Chrysophyceae_Clade-E_X_sp."
"162" "Eukaryota" NA NA NA NA NA NA NA
"163" "Eukaryota" "Stramenopiles" "Opalozoa" "Bicoecea" "Pseudodendromonadales" "Pseudodendromonadales_X" "Nerada" "Nerada_mexicana"
"164" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-E" "Chrysophyceae_Clade-E_X" "Chrysophyceae_Clade-E_X_sp."
"165" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" NA
"166" "Eukaryota" "Stramenopiles" "Opalozoa" "Bicoecea" "Pseudodendromonadales" "Pseudodendromonadales_X" NA NA
"167" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-E" "Chrysophyceae_Clade-E_X" "Chrysophyceae_Clade-E_X_sp."
"168" "Eukaryota" "Opisthokonta" "Metazoa" "Craniata" "Craniata_X" "Teleostei" "Salmo" "Salmo_salar"
"169" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-F" "Chrysophyceae_Clade-F_X" "Chrysophyceae_Clade-F_X_sp."
"170" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"171" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"172" "Eukaryota" "Hacrobia" "Telonemia" "Telonemia_X" "Telonemia_XX" "Telonemia-Group-2" "Telonemia-Group-2_X" "Telonemia-Group-2_X_sp."
"173" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-E" "Chrysophyceae_Clade-E_X" "Chrysophyceae_Clade-E_X_sp."
"174" "Eukaryota" "Archaeplastida" "Chlorophyta" "Chlorophyceae" "Chlamydomonadales" "Chlamydomonadales_X" "Cephalomonas" "Cephalomonas_granulata"
"175" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" "Cryptomonas_ovata"
"176" "Eukaryota" "Archaeplastida" "Chlorophyta" "Chlorophyceae" "Chlamydomonadales" "Chlamydomonadales_X" NA NA
