"Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"99" "Eukaryota" "Ochrophyta_ph" "Dictyochophyceae" "Pedinellales" NA NA
"100" "Eukaryota" "Rotifera" "Monogononta" "Ploimida" NA NA
"101" "Eukaryota" NA NA NA NA NA
"102" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Oligohymenophorea" NA
"103" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" "Pelagostrobilidium"
"104" "Eukaryota" "Diatomea" "Coscinodiscophytina_cl" "Coscinodiscophytina_or" "Melosirids" "Aulacoseira"
"105" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" NA NA
"106" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"107" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"108" "Eukaryota" "Ochrophyta_ph" "Dictyochophyceae" "Pedinellales" NA NA
"109" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"110" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" NA NA
"111" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" NA
"112" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"113" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"114" "Eukaryota" NA NA NA NA NA
"115" "Eukaryota" NA NA NA NA NA
"116" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"117" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Chroomonas"
"118" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"119" "Eukaryota" NA NA NA NA NA
"120" "Eukaryota" "Rotifera" "Monogononta" "Ploimida" NA NA
"121" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"122" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Gymnodiniphycidae_fa" "Gyrodinium"
"123" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"124" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" "Uroglena"
"125" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" "Tintinnidium"
"126" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Suessiaceae" "Pelagodinium"
"127" "Eukaryota" "Ochrophyta_ph" "Dictyochophyceae" "Pedinellales" NA NA
"128" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"129" "Eukaryota" "Diatomea" "Bacillariophyceae" "Bacillariophyceae_or" "Bacillariophyceae_fa" "Diatoma"
"130" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"131" "Eukaryota" "Chytridiomycota" "Chytridiomycetes" "Rhizophydiales" NA NA
"132" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"133" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"134" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"135" "Eukaryota" "Diatomea" "Coscinodiscophytina_cl" "Coscinodiscophytina_or" "Melosirids" "Aulacoseira"
"136" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Oligotrichia" NA
"137" "Eukaryota" "Arthropoda" "Maxillopoda" "Calanoida" NA NA
"138" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"139" "Eukaryota" "Diatomea" "Mediophyceae" "Mediophyceae_or" "Mediophyceae_fa" "Thalassiosira"
"140" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"141" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" NA NA
"142" "Eukaryota" "Kathablepharidae" "Kathablepharidae_cl" "Kathablepharidae_or" "Kathablepharidae_fa" "Leucocryptos"
"143" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"144" "Eukaryota" "Chytridiomycota" "Chytridiomycetes" "Chytridiales" "Chytridiaceae" "Chytridium"
"145" "Eukaryota" "MAST-2" NA NA NA NA
"146" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Peridiniphycidae_or" "Thoracosphaeraceae" NA
"147" "Eukaryota" "Dinoflagellata" NA NA NA NA
"148" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Ochromonadales" "Ochromonadales_fa" "Paraphysomonas"
"149" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"150" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" "Cryptocaryon"
"151" "Eukaryota" NA NA NA NA NA
"152" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"153" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" NA
"154" "Eukaryota" "Ciliophora" "Postciliodesmatophora" "Heterotrichea" "Heterotrichea_fa" "Stentor"
"155" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"156" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"157" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"158" "Eukaryota" "Dinoflagellata" "Dinophyceae" NA NA NA
"159" "Eukaryota" "Chytridiomycota" "Chytridiomycetes" "Chytridiales" "Chytriomycetaceae" NA
"160" "Eukaryota" NA NA NA NA NA
"161" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"162" "Eukaryota" NA NA NA NA NA
"163" "Eukaryota" NA NA NA NA NA
"164" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"165" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"166" "Eukaryota" NA NA NA NA NA
"167" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"168" "Eukaryota" "Vertebrata" "Actinopterygii" NA NA NA
"169" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" "Chromulinales_fa" NA
"170" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Suessiaceae" "Biecheleria"
"171" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" NA NA
"172" "Eukaryota" "Incertae_Sedis_ph" "Incertae_Sedis_cl" "Incertae_Sedis_or" "Incertae_Sedis_fa" "Telonema"
"173" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "P34.45" NA NA
"174" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"175" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"176" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"177" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Hypotrichia" NA
"178" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"179" "Eukaryota" NA NA NA NA NA
"180" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"181" "Eukaryota" "Incertae_Sedis_ph" "Incertae_Sedis_cl" "Incertae_Sedis_or" "Incertae_Sedis_fa" "Telonema"
"182" "Eukaryota" "Chlorophyta_ph" "Chlorodendrophyceae" "Chlorodendrales" "Chlorodendrales_fa" "Tetraselmis"
"183" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"184" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" NA
"185" "Eukaryota" "Ochrophyta_ph" "Dictyochophyceae" "Pedinellales" NA NA
"186" "Eukaryota" "Ochrophyta_ph" "Dictyochophyceae" "Pedinellales" NA NA
"187" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Hypotrichia" "Halteria"
"188" "Eukaryota" NA NA NA NA NA
"189" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"190" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"191" "Eukaryota" NA NA NA NA NA
"192" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"193" "Eukaryota" NA NA NA NA NA
"194" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" NA
"195" "Eukaryota" NA NA NA NA NA
"196" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"197" "Eukaryota" "Chlorophyta_ph" "Chlorophyceae" NA NA NA
"198" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Suessiaceae" "Biecheleria"
"199" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" "Prostomatea" NA
"200" "Eukaryota" "Chytridiomycota" "Chytridiomycetes" "Chytridiales" "Incertae_Sedis" "Zygorhizidium"
"201" "Eukaryota" NA NA NA NA NA
"202" "Eukaryota" NA NA NA NA NA
