"Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"154" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Suessiaceae" "Pelagodinium"
"155" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" NA NA
"156" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"157" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" "Pelagostrobilidium"
"158" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" NA
"159" "Eukaryota" "Arthropoda" "Branchiopoda" "Notostraca" NA NA
"160" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" "Mallomonas"
"161" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"162" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Peridiniales" "Peridiniales_fa" "Peridinium"
"163" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Ochromonadales" "Ochromonadales_fa" "Paraphysomonas"
"164" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Synurales" "Synurales_fa" NA
"165" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Choreotrichia" "Tintinnidium"
"166" "Eukaryota" "Cercozoa" NA NA NA NA
"167" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"168" "Eukaryota" "Holozoa_ph" "Choanoflagellida" NA NA NA
"169" "Eukaryota" "Phragmoplastophyta" NA NA NA NA
"170" "Eukaryota" "Protalveolata" "Perkinsidae" "A31" NA NA
"171" "Eukaryota" "Chlorophyta_ph" "Trebouxiophyceae" NA NA NA
"172" "Eukaryota" NA NA NA NA NA
"173" "Eukaryota" NA NA NA NA NA
"174" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" "Chromulinales" NA NA
"175" "Eukaryota" "Chytridiomycota" "Chytridiomycetes" "Rhizophydiales" NA NA
"176" "Eukaryota" "Arthropoda" "Branchiopoda" NA NA NA
"177" "Eukaryota" "Ciliophora" "Intramacronucleata" "Spirotrichea" "Oligotrichia" "Spirostrombidium"
"178" "Eukaryota" "Ascomycota" "Dothideomycetes" "Pleosporales" "Pleosporaceae" "Curvularia"
"179" "Eukaryota" "Ochrophyta_ph" "Chrysophyceae" NA NA NA
"180" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Gymnodiniphycidae" "Gymnodinium_clade" NA
"181" "Eukaryota" NA NA NA NA NA
"182" "Eukaryota" "Dinoflagellata" "Dinophyceae" "Peridiniales" "Peridiniales_fa" "Peridinium"
"183" "Eukaryota" "Ciliophora" "Intramacronucleata" "Conthreep" NA NA
"184" "Eukaryota" "Phragmoplastophyta" "Charophyceae" "Charales" "Charales_fa" "Nitella"
"185" "Eukaryota" "Cryptophyceae_ph" "Cryptophyceae_cl" "Cryptomonadales" "Cryptomonadales_fa" "Cryptomonas"
"186" "Eukaryota" NA NA NA NA NA
