"Kingdom" "Supergroup" "Division" "Class" "Order" "Family" "Genus" "Species"
"61" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Hypotrichia" "Hypotrichia_X" "Hypotrichia_XX" "Hypotrichia_XX_sp."
"62" "Eukaryota" "Opisthokonta" "Metazoa" "Rotifera" "Rotifera_X" "Rotifera_XX" "Conochilus" "Conochilus_hippocrepis"
"63" "Eukaryota" "Alveolata" "Ciliophora" "Oligohymenophorea" "Peritrichia_2" "Sessilida" "Vorticella" "Vorticella_convallaria"
"64" "Eukaryota" "Opisthokonta" "Metazoa" "Rotifera" "Rotifera_X" "Rotifera_XX" "Conochilus" "Conochilus_unicornis"
"65" "Eukaryota" "Hacrobia" "Katablepharidophyta" "Katablepharidaceae" "Katablepharidales" "Katablepharidales_X" "Katablepharidales_XX" "Katablepharidales_XX_sp."
"66" "Eukaryota" "Rhizaria" "Cercozoa" "Endomyxa" "Vampyrellida" "Leptophryidae" "Leptophryidae_X" "Leptophryidae_X_sp."
"67" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" NA NA NA NA
"68" "Eukaryota" "Hacrobia" "Centroheliozoa" "Centroheliozoa_X" "Pterocystida" "Choanocystidae" "Choanocystis" "Choanocystis_sp."
"69" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Peridiniales" "Peridiniaceae" "Peridinium" "Peridinium_gatunense"
"70" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"71" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida_A" "Strombidiida_A_X" "Strombidiida_A_XX" "Strombidiida_A_XX_sp."
"72" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Branchiopoda" "Leptodora" "Leptodora_kindtii"
"73" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
